,class,text,text_trat
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazy available bugis great world la buffet cine got amore wat
1,0,Ok lar... Joking wif u oni...,ok lar joking wif oni
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate t&c's apply 08452810075over18's
3,0,U dun say so early hor... U c already then say...,dun say early hor already say
4,0,"Nah I don't think he goes to usf, he lives around here though",nah think goes usf lives around though
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey darling 3 week's word back ! i'd like fun still ? tb ok ! xxx std chgs send £ 1 50 rcv
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aids patent
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request 'melle melle oru minnaminunginte nurungu vettam ' set callertune callers press *9 copy friends callertune
8,1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner ! ! valued network customer selected receivea £ 900 prize reward ! claim call 09061701461 claim code kl341 valid 12 hours
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile 11 months ? entitled update latest colour mobiles camera free ! call mobile update co free 08002986030
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gonna home soon want talk stuff anymore tonight ? i've cried enough today
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash ! 100 20 000 pounds txt> csh11 send 87575 cost 150p/day 6days 16+ tsandcs apply reply hl info
12,1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent ! 1 week free membership £ 100 000 prize jackpot ! txt word : claim : 81010 t&c www dbuk net lccltd pobox 4403ldnw1a7rw18
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i've searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday ! !
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub : use credit click wap link next txt message click here>> http : //wap xxxmobilemovieclub com ? n=qjkgighjjgcbl
16,0,Oh k...i'm watching here:),oh watching :
17,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh remember spell name yes naughty make wet
18,0,Fine if thats the way u feel. Thats the way its gota b,fine thats way feel thats way gota
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england macedonia - dont miss goals/team news txt national team 87077 eg england 87077 try : wales scotland 4txt/ú1 20 poboxox36504w45wq 16+
20,0,Is that seriously how you spell his name?,seriously spell name ?
21,0,I‘m going to try for 2 months ha ha only joking,i‘m going try months ha ha joking
22,0,So ü pay first lar... Then when is da stock comin...,ü pay first lar da stock comin
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor finish lunch already ?
